0.050,6.37650933339e+04,-2.88865353564e+06,-2.26507434131e+00
0.055,5.21067061211e+04,-1.94906258904e+06,-2.05728687107e+00
0.060,4.35157796269e+04,-1.49185928308e+06,-2.05699076869e+00
0.065,3.71238961461e+04,-1.07221325005e+06,-1.87733154352e+00
0.070,3.26012827893e+04,-7.64638274985e+05,-1.64179672300e+00
0.075,2.92533099785e+04,-5.92727607619e+05,-1.51964241325e+00
0.080,2.65636182357e+04,-4.88024137535e+05,-1.46975199901e+00
0.085,2.43306768135e+04,-4.08840600817e+05,-1.42829775496e+00
0.090,2.24436802733e+04,-3.48649240536e+05,-1.39809653614e+00
0.095,2.08203413591e+04,-3.02798241258e+05,-1.38162157975e+00
0.100,1.94004680946e+04,-2.66199310252e+05,-1.37212828553e+00
0.110,1.70391291080e+04,-2.09256937987e+05,-1.35090608403e+00
0.120,1.51654632433e+04,-1.67395884989e+05,-1.32455605717e+00
0.130,1.36582172879e+04,-1.35468876436e+05,-1.28940355579e+00
0.140,1.24316125712e+04,-1.10908415477e+05,-1.24900756663e+00
0.150,1.14216091563e+04,-9.18965804613e+04,-1.20687784712e+00
0.160,1.05795914102e+04,-7.71234758915e+04,-1.16637360217e+00
0.170,9.86859570001e+03,-6.55234046094e+04,-1.12872987426e+00
0.180,9.26110701331e+03,-5.63332832749e+04,-1.09490053132e+00
0.190,8.73585845713e+03,-4.89710713256e+04,-1.06509321294e+00
0.200,8.27705576410e+03,-4.29999908298e+04,-1.03901657921e+00
0.210,7.87235206776e+03,-3.80854509927e+04,-1.01595363617e+00
0.220,7.51268134086e+03,-3.39714748350e+04,-9.94814517562e-01
0.230,7.19065168760e+03,-3.05394866372e+04,-9.76835234373e-01
0.240,6.90015690502e+03,-2.76303165846e+04,-9.61032636155e-01
0.250,6.63672171044e+03,-2.51185608476e+04,-9.46196101912e-01
0.260,6.39662708610e+03,-2.29546480213e+04,-9.33024296275e-01
0.270,6.17670026504e+03,-2.10700610125e+04,-9.21028417969e-01
0.280,5.97448353777e+03,-1.94083067538e+04,-9.09589231724e-01
0.290,5.78787193316e+03,-1.79453225787e+04,-8.99146285185e-01
0.300,5.61503028796e+03,-1.66465936034e+04,-8.89394682647e-01
0.320,5.30497595891e+03,-1.44400319400e+04,-8.71033206669e-01
0.340,5.03468208252e+03,-1.26465785134e+04,-8.54043338599e-01
0.360,4.79701645865e+03,-1.11680095041e+04,-8.38121665021e-01
0.380,4.58634529128e+03,-9.93234994549e+03,-8.22941305021e-01
0.400,4.39849069450e+03,-8.88164774431e+03,-8.07699582532e-01
0.420,4.23001788395e+03,-7.99032245319e+03,-7.93361995720e-01
0.440,4.07803401863e+03,-7.22573151464e+03,-7.79621222362e-01
0.460,3.94032598408e+03,-6.56061118023e+03,-7.65896312919e-01
0.480,3.81502503641e+03,-5.98323218678e+03,-7.52800157861e-01
0.500,3.70051845926e+03,-5.47769243781e+03,-7.40124998445e-01
0.550,3.45350101569e+03,-4.45619625442e+03,-7.09687916348e-01
0.600,3.25052617257e+03,-3.69832540608e+03,-6.82657245580e-01
0.650,3.08072512277e+03,-3.11781026982e+03,-6.57824568769e-01
0.700,2.93656535035e+03,-2.66834125596e+03,-6.36062425429e-01
0.750,2.81242460463e+03,-2.30737666366e+03,-6.15316938595e-01
0.800,2.70459844206e+03,-2.01999372691e+03,-5.97499043258e-01
0.850,2.60909645474e+03,-1.81243822627e+03,-5.90462069554e-01
0.900,2.52300660493e+03,-1.62621195438e+03,-5.80097870565e-01
0.950,2.44693929168e+03,-1.41213434072e+03,-5.48247203452e-01
1.000,2.38076650498e+03,-1.25715412265e+03,-5.28045954956e-01
1.050,2.32008458987e+03,-1.17067942877e+03,-5.29814044530e-01
1.100,2.26364531088e+03,-1.08740323529e+03,-5.28414744602e-01
1.150,2.21130001803e+03,-1.00677632563e+03,-5.23580140656e-01
1.200,2.16293254821e+03,-9.28257189637e+02,-5.14999244190e-01
1.300,2.07747996072e+03,-7.84405314053e+02,-4.90848011797e-01
1.400,2.00517667395e+03,-6.66789037265e+02,-4.65547332710e-01
1.500,1.94325369028e+03,-5.75342519354e+02,-4.44107623902e-01
1.600,1.88942111477e+03,-5.04531346442e+02,-4.27247344700e-01
1.700,1.84185409431e+03,-4.48555462246e+02,-4.14009061942e-01
1.800,1.79937927722e+03,-4.02509416424e+02,-4.02648268065e-01
1.900,1.76110110115e+03,-3.63985544679e+02,-3.92693261301e-01
2.000,1.72640452444e+03,-3.30794374809e+02,-3.83217687542e-01
2.100,1.69479792273e+03,-3.01934277931e+02,-3.74122469205e-01
2.200,1.66590319585e+03,-2.76509833645e+02,-3.65160253930e-01
2.300,1.63939796999e+03,-2.54029113056e+02,-3.56391169639e-01
2.400,1.61501361993e+03,-2.34061842330e+02,-3.47828906616e-01
2.500,1.59251243330e+03,-2.16292797318e+02,-3.39546481389e-01
2.600,1.57169099648e+03,-2.00446218544e+02,-3.31592004652e-01
2.700,1.55236705318e+03,-1.86285786266e+02,-3.24003026145e-01
2.800,1.53438465376e+03,-1.73601273523e+02,-3.16793813515e-01
2.900,1.51760367445e+03,-1.62211366586e+02,-3.09970890963e-01
3.000,1.50190475554e+03,-1.51950434358e+02,-3.03515453556e-01
3.100,1.48718051277e+03,-1.42681834526e+02,-2.97417618934e-01
3.200,1.47333958617e+03,-1.34277456534e+02,-2.91642106779e-01
3.300,1.46029958661e+03,-1.26635902215e+02,-2.86173112107e-01
3.400,1.44799020896e+03,-1.19660350749e+02,-2.80972336711e-01
3.500,1.43634780953e+03,-1.13275787299e+02,-2.76023156032e-01
3.600,1.42531776148e+03,-1.07409991729e+02,-2.71291062719e-01
3.700,1.41485035596e+03,-1.02007761788e+02,-2.66762288340e-01
3.800,1.40490252771e+03,-9.70160191342e+01,-2.62410285011e-01
3.900,1.39543489448e+03,-9.23920338133e+01,-2.58219808962e-01
4.000,1.38641322552e+03,-8.80949417171e+01,-2.54166478206e-01
4.200,1.36958445166e+03,-8.03761114181e+01,-2.46483280054e-01
4.400,1.35419866287e+03,-7.36200781987e+01,-2.39202971437e-01
4.600,1.34008262864e+03,-6.76711393312e+01,-2.32289587426e-01
4.800,1.32708348445e+03,-6.24237583221e+01,-2.25783866243e-01
5.000,1.31507273389e+03,-5.77823799498e+01,-2.19692715318e-01
5.200,1.30393840911e+03,-5.36236522516e+01,-2.13846750552e-01
5.400,1.29359871697e+03,-4.98333296954e+01,-2.08024309876e-01
5.600,1.28398154797e+03,-4.63960040088e+01,-2.02353081210e-01
5.800,1.27500982904e+03,-4.34158797841e+01,-1.97498165906e-01
6.000,1.26657790893e+03,-4.09951373674e+01,-1.94201100832e-01
6.500,1.24755587506e+03,-3.48223200103e+01,-1.81430815719e-01
7.000,1.23155080107e+03,-2.98451811467e+01,-1.69636744050e-01
7.500,1.21738786568e+03,-2.68040165111e+01,-1.65132353871e-01
8.000,1.20474989903e+03,-2.37441863095e+01,-1.57670476361e-01
8.500,1.19360221721e+03,-2.09346596479e+01,-1.49082001056e-01
9.000,1.18372919164e+03,-1.86415606588e+01,-1.41733470049e-01
9.500,1.17489204730e+03,-1.67613342038e+01,-1.35529621893e-01
10.000,1.16691456887e+03,-1.52009071361e+01,-1.30265809869e-01
10.500,1.15965124167e+03,-1.38806694622e+01,-1.25681777517e-01
11.000,1.15300610065e+03,-1.27272520089e+01,-1.21421536294e-01
11.500,1.14690146643e+03,-1.17088315893e+01,-1.17404648279e-01
12.000,1.14127998480e+03,-1.07941319361e+01,-1.13495009952e-01
12.500,1.13609190804e+03,-9.97189967138e+00,-1.09717132048e-01
13.000,1.13129453814e+03,-9.23095966491e+00,-1.06075360216e-01
13.500,1.12684859665e+03,-8.56410317622e+00,-1.02600645040e-01
14.000,1.12271926196e+03,-7.96429096013e+00,-9.93125149088e-02
14.500,1.11887425339e+03,-7.42481898278e+00,-9.62216039241e-02
15.000,1.11528545283e+03,-6.93929119860e+00,-9.33297997521e-02
15.500,1.11192700104e+03,-6.50159380281e+00,-9.06306833532e-02
16.000,1.10877683953e+03,-6.10601505467e+00,-8.81117258149e-02
16.500,1.10581481593e+03,-5.74752100974e+00,-8.57594737332e-02
17.000,1.10302391674e+03,-5.42143886237e+00,-8.35561761281e-02
17.500,1.10038862387e+03,-5.12391674386e+00,-8.14880680085e-02
18.000,1.09789584346e+03,-4.85133479544e+00,-7.95376235714e-02
18.500,1.09553360562e+03,-4.60086687577e+00,-7.76936798331e-02
19.000,1.09329174577e+03,-4.36978455232e+00,-7.59412177175e-02
19.500,1.09116092561e+03,-4.15606943245e+00,-7.42725953899e-02
20.000,1.08913311714e+03,-3.95770997939e+00,-7.26763316091e-02
21.000,1.08535786480e+03,-3.60100051007e+00,-6.96738036031e-02
22.000,1.08191592289e+03,-3.28985317287e+00,-6.68968524001e-02
23.000,1.07876581524e+03,-3.01570327273e+00,-6.42967864691e-02
24.000,1.07587392349e+03,-2.77333474872e+00,-6.18660165619e-02
25.000,1.07320998316e+03,-2.55843906346e+00,-5.95978211072e-02
26.000,1.07074931461e+03,-2.36673715036e+00,-5.74692554737e-02
27.000,1.06846969337e+03,-2.19549347692e+00,-5.54796493009e-02
28.000,1.06635238764e+03,-2.04207037574e+00,-5.36201458198e-02
29.000,1.06438032031e+03,-1.90437054806e+00,-5.18862899284e-02
30.000,1.06253905823e+03,-1.78043536252e+00,-5.02692681854e-02
31.000,1.06081540682e+03,-1.66866320944e+00,-4.87630167891e-02
32.000,1.05919815673e+03,-1.56761663960e+00,-4.73601017416e-02
33.000,1.05767699858e+03,-1.47609565282e+00,-4.60548509691e-02
34.000,1.05624318470e+03,-1.39291707728e+00,-4.48373833920e-02
35.000,1.05488864443e+03,-1.31727511980e+00,-4.37056834732e-02
36.000,1.05360642065e+03,-1.24827553415e+00,-4.26515237084e-02
37.000,1.05239013627e+03,-1.18514407737e+00,-4.16673715871e-02
38.000,1.05123443630e+03,-1.12710129700e+00,-4.07424336636e-02
39.000,1.05013424786e+03,-1.07411596460e+00,-3.98906356067e-02
40.000,1.04908482090e+03,-1.02529097318e+00,-3.90927769712e-02
